name	descr	pvalue	qvalue
LIPID TRANSPORTER ACTIVITY%GOMF%GO:0005319	LIPID TRANSPORTER ACTIVITY%GOMF%GO:0005319	0.000332	0.0104379084507042
ACETYLCHOLINE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0095500	ACETYLCHOLINE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0095500	0.000333	0.0104379084507042
DEFENSE RESPONSE TO PROTOZOAN%GOBP%GO:0042832	DEFENSE RESPONSE TO PROTOZOAN%GOBP%GO:0042832	0.000333	0.0104379084507042
RESPONSE TO PROTOZOAN%GOBP%GO:0001562	RESPONSE TO PROTOZOAN%GOBP%GO:0001562	0.000333	0.0104379084507042
NEPHRIC DUCT DEVELOPMENT%GOBP%GO:0072176	NEPHRIC DUCT DEVELOPMENT%GOBP%GO:0072176	0.000334	0.0104447353629977
PYRIMIDINE NUCLEOSIDE BIOSYNTHETIC PROCESS%GOBP%GO:0046134	PYRIMIDINE NUCLEOSIDE BIOSYNTHETIC PROCESS%GOBP%GO:0046134	0.000337	0.0104717262180974
REGULATION OF LYSOSOMAL LUMEN PH%GOBP%GO:0035751	REGULATION OF LYSOSOMAL LUMEN PH%GOBP%GO:0035751	0.000338	0.0104717262180974
NUCLEAR IMPORT SIGNAL RECEPTOR ACTIVITY%GOMF%GO:0061608	NUCLEAR IMPORT SIGNAL RECEPTOR ACTIVITY%GOMF%GO:0061608	0.000338	0.0104717262180974
IMPORT INTO NUCLEUS%GOMF%GO:0051170	IMPORT INTO NUCLEUS%GOMF%GO:0051170	0.000338	0.0104717262180974
MONOACYLGLYCEROL METABOLIC PROCESS%GOBP%GO:0046462	MONOACYLGLYCEROL METABOLIC PROCESS%GOBP%GO:0046462	0.000344	0.0106329444444444
REGULATION OF ASPARTIC-TYPE PEPTIDASE ACTIVITY%GOBP%GO:1905245	REGULATION OF ASPARTIC-TYPE PEPTIDASE ACTIVITY%GOBP%GO:1905245	0.000349	0.0107437931034483
REGULATION OF RECEPTOR CATABOLIC PROCESS%GOBP%GO:2000644	REGULATION OF RECEPTOR CATABOLIC PROCESS%GOBP%GO:2000644	0.00035	0.0107437931034483
REGULATION OF LIPOPROTEIN LIPASE ACTIVITY%GOBP%GO:0051004	REGULATION OF LIPOPROTEIN LIPASE ACTIVITY%GOBP%GO:0051004	0.00035	0.0107437931034483
GP1B-IX-V ACTIVATION SIGNALLING%REACTOME%R-HSA-430116.1	GP1B-IX-V ACTIVATION SIGNALLING%REACTOME%R-HSA-430116.1	0.000352	0.0107804036697248
REGULATION OF ADIPOSE TISSUE DEVELOPMENT%GOBP%GO:1904177	REGULATION OF ADIPOSE TISSUE DEVELOPMENT%GOBP%GO:1904177	0.000362	0.011061295194508
HYPOXIA RESPONSE VIA HIF ACTIVATION%PANTHER PATHWAY%P00030	HYPOXIA RESPONSE VIA HIF ACTIVATION%PANTHER PATHWAY%P00030	0.000363	0.0110665273972603
PROTEIN TARGETING TO ER%GOBP%GO:0045047	PROTEIN TARGETING TO ER%GOBP%GO:0045047	0.000364	0.011071735763098
POSITIVE REGULATION OF JUN KINASE ACTIVITY%GOBP%GO:0043507	POSITIVE REGULATION OF JUN KINASE ACTIVITY%GOBP%GO:0043507	0.00037	0.0112286590909091
SYNTHESIS OF IP3 AND IP4 IN THE CYTOSOL%REACTOME%R-HSA-1855204.3	SYNTHESIS OF IP3 AND IP4 IN THE CYTOSOL%REACTOME%R-HSA-1855204.3	0.000371	0.0112334761904762
METABOLISM OF NITRIC OXIDE: NOS3 ACTIVATION AND REGULATION%REACTOME%R-HSA-202131.4	METABOLISM OF NITRIC OXIDE: NOS3 ACTIVATION AND REGULATION%REACTOME%R-HSA-202131.4	0.000373	0.0112684819004525
ALPHA ADRENERGIC RECEPTOR SIGNALING PATHWAY%PANTHER PATHWAY%P00002	ALPHA ADRENERGIC RECEPTOR SIGNALING PATHWAY%PANTHER PATHWAY%P00002	0.000376	0.0113334717832957
BILE ACID TRANSMEMBRANE TRANSPORTER ACTIVITY%GOMF%GO:0015125	BILE ACID TRANSMEMBRANE TRANSPORTER ACTIVITY%GOMF%GO:0015125	0.000378	0.0113425483146067
BILE ACID AND BILE SALT TRANSPORT%GOMF%GO:0015721	BILE ACID AND BILE SALT TRANSPORT%GOMF%GO:0015721	0.000378	0.0113425483146067
REGULATION OF PLASMA MEMBRANE ORGANIZATION%GOBP%GO:1903729	REGULATION OF PLASMA MEMBRANE ORGANIZATION%GOBP%GO:1903729	0.000382	0.0114368744394619
REGULATION OF CATECHOLAMINE METABOLIC PROCESS%GOBP%GO:0042069	REGULATION OF CATECHOLAMINE METABOLIC PROCESS%GOBP%GO:0042069	0.000385	0.011475234375
REGULATION OF DOPAMINE METABOLIC PROCESS%GOBP%GO:0042053	REGULATION OF DOPAMINE METABOLIC PROCESS%GOBP%GO:0042053	0.000385	0.011475234375
NUCLEOTIDE GPCRS%WIKIPATHWAYS_20220510%WP80%HOMO SAPIENS	NUCLEOTIDE GPCRS%WIKIPATHWAYS_20220510%WP80%HOMO SAPIENS	0.000389	0.0115686347438753
PRESYNAPTIC ACTIVE ZONE ORGANIZATION%GOBP%GO:1990709	PRESYNAPTIC ACTIVE ZONE ORGANIZATION%GOBP%GO:1990709	0.000392	0.0116319466666667
ORGANIC HYDROXY COMPOUND TRANSPORT%GOMF%GO:0015850	ORGANIC HYDROXY COMPOUND TRANSPORT%GOMF%GO:0015850	0.000393	0.0116357627494457
CYTOKINE PRODUCTION%GOBP%GO:0001816	CYTOKINE PRODUCTION%GOBP%GO:0001816	0.000396	0.0116802065934066
TCA CYCLE NUTRIENT USE AND INVASIVENESS OF OVARIAN CANCER%WIKIPATHWAYS_20220510%WP2868%HOMO SAPIENS	TCA CYCLE NUTRIENT USE AND INVASIVENESS OF OVARIAN CANCER%WIKIPATHWAYS_20220510%WP2868%HOMO SAPIENS	0.000397	0.0116802065934066
POSITIVE REGULATION OF MITOPHAGY%GOBP%GO:1901526	POSITIVE REGULATION OF MITOPHAGY%GOBP%GO:1901526	0.000398	0.0116802065934066
PYRIMIDINE RIBONUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009208	PYRIMIDINE RIBONUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009208	0.000398	0.0116802065934066
APEX1-INDEPENDENT RESOLUTION OF AP SITES VIA THE SINGLE NUCLEOTIDE REPLACEMENT PATHWAY%REACTOME DATABASE ID RELEASE 83%5649702	APEX1-INDEPENDENT RESOLUTION OF AP SITES VIA THE SINGLE NUCLEOTIDE REPLACEMENT PATHWAY%REACTOME DATABASE ID RELEASE 83%5649702	0.000402	0.011701978308026
CXCR CHEMOKINE RECEPTOR BINDING%GOMF%GO:0045236	CXCR CHEMOKINE RECEPTOR BINDING%GOMF%GO:0045236	0.000403	0.011701978308026
RNA LOCALIZATION TO CAJAL BODY%GOBP%GO:0090670	RNA LOCALIZATION TO CAJAL BODY%GOBP%GO:0090670	0.000404	0.011701978308026
RNA LOCALIZATION TO NUCLEUS%GOBP%GO:0090685	RNA LOCALIZATION TO NUCLEUS%GOBP%GO:0090685	0.000404	0.011701978308026
SCARNA LOCALIZATION TO CAJAL BODY%GOBP%GO:0090666	SCARNA LOCALIZATION TO CAJAL BODY%GOBP%GO:0090666	0.000404	0.011701978308026
ATTENUATION PHASE%REACTOME%R-HSA-3371568.1	ATTENUATION PHASE%REACTOME%R-HSA-3371568.1	0.000404	0.011701978308026
BLOOD COAGULATION, FIBRIN CLOT FORMATION%GOBP%GO:0072378	BLOOD COAGULATION, FIBRIN CLOT FORMATION%GOBP%GO:0072378	0.000408	0.0117667904967603
PROTEIN ACTIVATION CASCADE%GOBP%GO:0072376	PROTEIN ACTIVATION CASCADE%GOBP%GO:0072376	0.000408	0.0117667904967603
PHOSPHATIDYLINOSITOL PHOSPHATE KINASE ACTIVITY%GOMF%GO:0016307	PHOSPHATIDYLINOSITOL PHOSPHATE KINASE ACTIVITY%GOMF%GO:0016307	0.00041	0.0117989870689655
BETA-CATENIN-TCF COMPLEX%GOCC%GO:1990907	BETA-CATENIN-TCF COMPLEX%GOCC%GO:1990907	0.000413	0.0118155543710021
NEGATIVE REGULATION OF FATTY ACID OXIDATION%GOBP%GO:0046322	NEGATIVE REGULATION OF FATTY ACID OXIDATION%GOBP%GO:0046322	0.000414	0.0118155543710021
MITOTIC DNA REPLICATION INITIATION%GOBP%GO:1902975	MITOTIC DNA REPLICATION INITIATION%GOBP%GO:1902975	0.000415	0.0118155543710021
CELL CYCLE DNA REPLICATION INITIATION%GOBP%GO:1902292	CELL CYCLE DNA REPLICATION INITIATION%GOBP%GO:1902292	0.000415	0.0118155543710021
NUCLEAR CELL CYCLE DNA REPLICATION INITIATION%GOBP%GO:1902315	NUCLEAR CELL CYCLE DNA REPLICATION INITIATION%GOBP%GO:1902315	0.000415	0.0118155543710021
PLASMA MEMBRANE ESTROGEN RECEPTOR SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PLASMA MEMBRANE ESTROGEN RECEPTOR SIGNALING	PLASMA MEMBRANE ESTROGEN RECEPTOR SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PLASMA MEMBRANE ESTROGEN RECEPTOR SIGNALING	0.000418	0.0118756468085106
TCR SIGNALING IN NAIVE CD8+ T CELLS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%TCR SIGNALING IN NAIVE CD8+ T CELLS	TCR SIGNALING IN NAIVE CD8+ T CELLS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%TCR SIGNALING IN NAIVE CD8+ T CELLS	0.000419	0.0118787834394904
CONSTITUTIVE ANDROSTANE RECEPTOR PATHWAY%WIKIPATHWAYS_20220510%WP2875%HOMO SAPIENS	CONSTITUTIVE ANDROSTANE RECEPTOR PATHWAY%WIKIPATHWAYS_20220510%WP2875%HOMO SAPIENS	0.000425	0.0120007974683544
REGULATION OF CATABOLIC PROCESS%GOMF%GO:0009894	REGULATION OF CATABOLIC PROCESS%GOMF%GO:0009894	0.000426	0.0120007974683544
POSITIVE REGULATION OF CATABOLIC PROCESS%GOMF%GO:0009896	POSITIVE REGULATION OF CATABOLIC PROCESS%GOMF%GO:0009896	0.000426	0.0120007974683544
PHOSPHATIDYLINOSITOL-3-PHOSPHATE BINDING%GOMF%GO:0032266	PHOSPHATIDYLINOSITOL-3-PHOSPHATE BINDING%GOMF%GO:0032266	0.000429	0.0120598673684211
METALLOENDOPEPTIDASE ACTIVITY%GOMF%GO:0004222	METALLOENDOPEPTIDASE ACTIVITY%GOMF%GO:0004222	0.00043	0.0120625840336134
HISTONE H3 ACETYLTRANSFERASE ACTIVITY%GOMF%GO:0010484	HISTONE H3 ACETYLTRANSFERASE ACTIVITY%GOMF%GO:0010484	0.000431	0.0120652893081761
EMBRYONIC CRANIAL SKELETON MORPHOGENESIS%GOBP%GO:0048701	EMBRYONIC CRANIAL SKELETON MORPHOGENESIS%GOBP%GO:0048701	0.000432	0.0120679832635983
TRANSCRIPTION COACTIVATOR BINDING%GOMF%GO:0001223	TRANSCRIPTION COACTIVATOR BINDING%GOMF%GO:0001223	0.000447	0.01243498125
PROCOLLAGEN-PROLINE DIOXYGENASE ACTIVITY%GOMF%GO:0019798	PROCOLLAGEN-PROLINE DIOXYGENASE ACTIVITY%GOMF%GO:0019798	0.000447	0.01243498125
NUCLEOSIDE BIOSYNTHETIC PROCESS%GOBP%GO:0009163	NUCLEOSIDE BIOSYNTHETIC PROCESS%GOBP%GO:0009163	0.000452	0.0124959751552795
NUCLEOBASE-CONTAINING SMALL MOLECULE BIOSYNTHETIC PROCESS%GOBP%GO:0034404	NUCLEOBASE-CONTAINING SMALL MOLECULE BIOSYNTHETIC PROCESS%GOBP%GO:0034404	0.000452	0.0124959751552795
LIPOPHAGY%REACTOME%R-HSA-9613354.3	LIPOPHAGY%REACTOME%R-HSA-9613354.3	0.000452	0.0124959751552795
POST-TRANSLATIONAL PROTEIN TARGETING TO ENDOPLASMIC RETICULUM MEMBRANE%GOBP%GO:0006620	POST-TRANSLATIONAL PROTEIN TARGETING TO ENDOPLASMIC RETICULUM MEMBRANE%GOBP%GO:0006620	0.000459	0.0126632789256198
T-CELL ANTIGEN RECEPTOR (TCR) PATHWAY DURING STAPHYLOCOCCUS AUREUS INFECTION%WIKIPATHWAYS_20220510%WP3863%HOMO SAPIENS	T-CELL ANTIGEN RECEPTOR (TCR) PATHWAY DURING STAPHYLOCOCCUS AUREUS INFECTION%WIKIPATHWAYS_20220510%WP3863%HOMO SAPIENS	0.000465	0.0128023608247423
POSITIVE REGULATION OF CELL CYCLE G1/S PHASE TRANSITION%GOBP%GO:1902808	POSITIVE REGULATION OF CELL CYCLE G1/S PHASE TRANSITION%GOBP%GO:1902808	0.000466	0.0128034938271605
NADH METABOLIC PROCESS%GOBP%GO:0006734	NADH METABOLIC PROCESS%GOBP%GO:0006734	0.000467	0.0128046221765914
UROGENITAL SYSTEM DEVELOPMENT%GOBP%GO:0001655	UROGENITAL SYSTEM DEVELOPMENT%GOBP%GO:0001655	0.000473	0.0129425594262295
RNA PHOSPHODIESTER BOND HYDROLYSIS, ENDONUCLEOLYTIC%GOBP%GO:0090502	RNA PHOSPHODIESTER BOND HYDROLYSIS, ENDONUCLEOLYTIC%GOBP%GO:0090502	0.000478	0.0130526257668712
MIDBODY ABSCISSION%GOBP%GO:0061952	MIDBODY ABSCISSION%GOBP%GO:0061952	0.000484	0.013189493877551
HYALURONAN UPTAKE AND DEGRADATION%REACTOME DATABASE ID RELEASE 83%2160916	HYALURONAN UPTAKE AND DEGRADATION%REACTOME DATABASE ID RELEASE 83%2160916	0.000491	0.013353
DETOXIFICATION OF REACTIVE OXYGEN SPECIES%REACTOME%R-HSA-3299685.5	DETOXIFICATION OF REACTIVE OXYGEN SPECIES%REACTOME%R-HSA-3299685.5	0.000493	0.0133801402439024
DEOXYCYTIDINE DEAMINASE ACTIVITY%GOMF%GO:0047844	DEOXYCYTIDINE DEAMINASE ACTIVITY%GOMF%GO:0047844	0.000495	0.0134071703853955
REGULATION OF B CELL APOPTOTIC PROCESS%GOBP%GO:0002902	REGULATION OF B CELL APOPTOTIC PROCESS%GOBP%GO:0002902	0.000499	0.0134876068548387
GLUTAMATE RECEPTOR SIGNALING PATHWAY%GOMF%GO:0007215	GLUTAMATE RECEPTOR SIGNALING PATHWAY%GOMF%GO:0007215	0.000501	0.0134876068548387
EGFR-DEPENDENT ENDOTHELIN SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%EGFR-DEPENDENT ENDOTHELIN SIGNALING EVENTS	EGFR-DEPENDENT ENDOTHELIN SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%EGFR-DEPENDENT ENDOTHELIN SIGNALING EVENTS	0.000501	0.0134876068548387
SYNTHESIS OF 15-EICOSATETRAENOIC ACID DERIVATIVES%REACTOME%R-HSA-2142770.1	SYNTHESIS OF 15-EICOSATETRAENOIC ACID DERIVATIVES%REACTOME%R-HSA-2142770.1	0.000504	0.0135410704225352
NEGATIVE REGULATION OF PROTEIN LOCALIZATION TO NUCLEUS%GOBP%GO:1900181	NEGATIVE REGULATION OF PROTEIN LOCALIZATION TO NUCLEUS%GOBP%GO:1900181	0.000509	0.0136479457831325
PHOSPHATIDYLSERINE FLIPPASE ACTIVITY%GOMF%GO:0140346	PHOSPHATIDYLSERINE FLIPPASE ACTIVITY%GOMF%GO:0140346	0.000513	0.0137276332665331
LIPID TRANSLOCATION%GOBP%GO:0034204	LIPID TRANSLOCATION%GOBP%GO:0034204	0.000515	0.01375359
TRANSLATION OF REPLICASE AND ASSEMBLY OF THE REPLICATION TRANSCRIPTION COMPLEX%REACTOME%R-HSA-9694676.2	TRANSLATION OF REPLICASE AND ASSEMBLY OF THE REPLICATION TRANSCRIPTION COMPLEX%REACTOME%R-HSA-9694676.2	0.000517	0.013778593625498
GLUTATHIONE-PEROXIDE REDOX REACTIONS%BIOCYC%PWY-4081	GLUTATHIONE-PEROXIDE REDOX REACTIONS%BIOCYC%PWY-4081	0.000518	0.013778593625498
PYRUVATE METABOLISM%PANTHER PATHWAY%P02772	PYRUVATE METABOLISM%PANTHER PATHWAY%P02772	0.000522	0.0138573876739563
EPHA-MEDIATED GROWTH CONE COLLAPSE%REACTOME%R-HSA-3928663.3	EPHA-MEDIATED GROWTH CONE COLLAPSE%REACTOME%R-HSA-3928663.3	0.000526	0.0139347148514851
RESPIRATORY BURST%GOBP%GO:0045730	RESPIRATORY BURST%GOBP%GO:0045730	0.000527	0.0139347148514851
POSITIVE REGULATION OF VASCULAR ASSOCIATED SMOOTH MUSCLE CELL PROLIFERATION%GOBP%GO:1904707	POSITIVE REGULATION OF VASCULAR ASSOCIATED SMOOTH MUSCLE CELL PROLIFERATION%GOBP%GO:1904707	0.00054	0.0142502371541502
POSITIVE REGULATION OF MYELOID CELL APOPTOTIC PROCESS%GOBP%GO:0033034	POSITIVE REGULATION OF MYELOID CELL APOPTOTIC PROCESS%GOBP%GO:0033034	0.00055	0.0144855029585799
TRANSLATION OF REPLICASE AND ASSEMBLY OF THE REPLICATION TRANSCRIPTION COMPLEX%REACTOME%R-HSA-9679504.4	TRANSLATION OF REPLICASE AND ASSEMBLY OF THE REPLICATION TRANSCRIPTION COMPLEX%REACTOME%R-HSA-9679504.4	0.000559	0.014683083984375
POSITIVE REGULATION OF MYELOID LEUKOCYTE MEDIATED IMMUNITY%GOBP%GO:0002888	POSITIVE REGULATION OF MYELOID LEUKOCYTE MEDIATED IMMUNITY%GOBP%GO:0002888	0.00056	0.014683083984375
SIGNALING BY ERBB2 IN CANCER%REACTOME%R-HSA-1227990.4	SIGNALING BY ERBB2 IN CANCER%REACTOME%R-HSA-1227990.4	0.000562	0.014683083984375
NEGATIVE REGULATION OF INTRACELLULAR ESTROGEN RECEPTOR SIGNALING PATHWAY%GOBP%GO:0033147	NEGATIVE REGULATION OF INTRACELLULAR ESTROGEN RECEPTOR SIGNALING PATHWAY%GOBP%GO:0033147	0.000563	0.014683083984375
PID_GMCSF_PATHWAY%MSIGDB_C2%PID_GMCSF_PATHWAY	PID_GMCSF_PATHWAY%MSIGDB_C2%PID_GMCSF_PATHWAY	0.000563	0.014683083984375
OXYGEN CARRIER ACTIVITY%GOMF%GO:0005344	OXYGEN CARRIER ACTIVITY%GOMF%GO:0005344	0.000567	0.0147298657587549
OXYGEN TRANSPORT%GOMF%GO:0015671	OXYGEN TRANSPORT%GOMF%GO:0015671	0.000567	0.0147298657587549
MULTIVESICULAR BODY MEMBRANE%GOCC%GO:0032585	MULTIVESICULAR BODY MEMBRANE%GOCC%GO:0032585	0.00057	0.0147762848837209
PID_TCR_PATHWAY%MSIGDB_C2%PID_TCR_PATHWAY	PID_TCR_PATHWAY%MSIGDB_C2%PID_TCR_PATHWAY	0.000571	0.0147762848837209
MICROGLIAL CELL ACTIVATION%GOBP%GO:0001774	MICROGLIAL CELL ACTIVATION%GOBP%GO:0001774	0.000577	0.0148166942307692
LEUKOCYTE ACTIVATION INVOLVED IN INFLAMMATORY RESPONSE%GOBP%GO:0002269	LEUKOCYTE ACTIVATION INVOLVED IN INFLAMMATORY RESPONSE%GOBP%GO:0002269	0.000577	0.0148166942307692
NUCLEAR RECEPTOR COACTIVATOR ACTIVITY%GOMF%GO:0030374	NUCLEAR RECEPTOR COACTIVATOR ACTIVITY%GOMF%GO:0030374	0.000577	0.0148166942307692
RAS SIGNALING DOWNSTREAM OF NF1 LOSS-OF-FUNCTION VARIANTS%REACTOME DATABASE ID RELEASE 83%6802953	RAS SIGNALING DOWNSTREAM OF NF1 LOSS-OF-FUNCTION VARIANTS%REACTOME DATABASE ID RELEASE 83%6802953	0.000577	0.0148166942307692
PROTEIN PRENYLATION%GOBP%GO:0018342	PROTEIN PRENYLATION%GOBP%GO:0018342	0.000583	0.0148848929254302
PRENYLATION%GOBP%GO:0097354	PRENYLATION%GOBP%GO:0097354	0.000583	0.0148848929254302
BETA-CATENIN BINDING%GOMF%GO:0008013	BETA-CATENIN BINDING%GOMF%GO:0008013	0.000583	0.0148848929254302
RIBOSOMAL PROTEIN S6 KINASE ACTIVITY%GOMF%GO:0004711	RIBOSOMAL PROTEIN S6 KINASE ACTIVITY%GOMF%GO:0004711	0.000585	0.0149074522900763
CARDIOBLAST DIFFERENTIATION%GOBP%GO:0010002	CARDIOBLAST DIFFERENTIATION%GOBP%GO:0010002	0.000588	0.01495536
TRANSMITTER-GATED MONOATOMIC ION CHANNEL ACTIVITY%GOMF%GO:0022824	TRANSMITTER-GATED MONOATOMIC ION CHANNEL ACTIVITY%GOMF%GO:0022824	0.000594	0.0150506299810247
TRANSMITTER-GATED CHANNEL ACTIVITY%GOMF%GO:0022835	TRANSMITTER-GATED CHANNEL ACTIVITY%GOMF%GO:0022835	0.000594	0.0150506299810247
MRNA REGULATORY ELEMENT BINDING TRANSLATION REPRESSOR ACTIVITY%GOMF%GO:0000900	MRNA REGULATORY ELEMENT BINDING TRANSLATION REPRESSOR ACTIVITY%GOMF%GO:0000900	0.000596	0.015062988700565
DEFENSE RESPONSE TO GRAM-NEGATIVE BACTERIUM%GOBP%GO:0050829	DEFENSE RESPONSE TO GRAM-NEGATIVE BACTERIUM%GOBP%GO:0050829	0.000598	0.015062988700565
VIRAL GENOME REPLICATION%GOBP%GO:0019079	VIRAL GENOME REPLICATION%GOBP%GO:0019079	0.000599	0.015062988700565
NEUROPEPTIDE RECEPTOR BINDING%GOMF%GO:0071855	NEUROPEPTIDE RECEPTOR BINDING%GOMF%GO:0071855	0.000599	0.015062988700565
POSITIVE REGULATION OF TRIGLYCERIDE METABOLIC PROCESS%GOBP%GO:0090208	POSITIVE REGULATION OF TRIGLYCERIDE METABOLIC PROCESS%GOBP%GO:0090208	0.000606	0.0152103721804511
SUPRESSION OF HMGB1 MEDIATED INFLAMMATION BY THBD%WIKIPATHWAYS_20220510%WP4479%HOMO SAPIENS	SUPRESSION OF HMGB1 MEDIATED INFLAMMATION BY THBD%WIKIPATHWAYS_20220510%WP4479%HOMO SAPIENS	0.00061	0.0152820450281426
BIOCARTA_PELP1_PATHWAY%MSIGDB_C2%BIOCARTA_PELP1_PATHWAY	BIOCARTA_PELP1_PATHWAY%MSIGDB_C2%BIOCARTA_PELP1_PATHWAY	0.000622	0.0155534943820225
ACTIVATED NTRK2 SIGNALS THROUGH PI3K%REACTOME%R-HSA-9028335.1	ACTIVATED NTRK2 SIGNALS THROUGH PI3K%REACTOME%R-HSA-9028335.1	0.00063	0.0157240934579439
CELLULAR RESPONSE TO ANGIOTENSIN%GOBP%GO:1904385	CELLULAR RESPONSE TO ANGIOTENSIN%GOBP%GO:1904385	0.000635	0.0157898603351955
BIOCARTA_IL17_PATHWAY%MSIGDB_C2%BIOCARTA_IL17_PATHWAY	BIOCARTA_IL17_PATHWAY%MSIGDB_C2%BIOCARTA_IL17_PATHWAY	0.000635	0.0157898603351955
DENDRITIC CELL DIFFERENTIATION%GOBP%GO:0097028	DENDRITIC CELL DIFFERENTIATION%GOBP%GO:0097028	0.00064	0.0158846096654275
NA+ CL- DEPENDENT NEUROTRANSMITTER TRANSPORTERS%REACTOME%R-HSA-442660.1	NA+ CL- DEPENDENT NEUROTRANSMITTER TRANSPORTERS%REACTOME%R-HSA-442660.1	0.000646	0.0160037810760668
REGULATION OF EXECUTION PHASE OF APOPTOSIS%GOBP%GO:1900117	REGULATION OF EXECUTION PHASE OF APOPTOSIS%GOBP%GO:1900117	0.000655	0.0161072099447514
HYDROLASE ACTIVITY, ACTING ON ETHER BONDS%GOMF%GO:0016801	HYDROLASE ACTIVITY, ACTING ON ETHER BONDS%GOMF%GO:0016801	0.000655	0.0161072099447514
ETHER HYDROLASE ACTIVITY%GOMF%GO:0016803	ETHER HYDROLASE ACTIVITY%GOMF%GO:0016803	0.000655	0.0161072099447514
PLATELET-MEDIATED INTERACTIONS WITH VASCULAR AND CIRCULATING CELLS%WIKIPATHWAYS_20220510%WP4462%HOMO SAPIENS	PLATELET-MEDIATED INTERACTIONS WITH VASCULAR AND CIRCULATING CELLS%WIKIPATHWAYS_20220510%WP4462%HOMO SAPIENS	0.000655	0.0161072099447514
LEADING STRAND SYNTHESIS%REACTOME%R-HSA-69109.3	LEADING STRAND SYNTHESIS%REACTOME%R-HSA-69109.3	0.000663	0.0162246129032258
POLYMERASE SWITCHING%REACTOME%R-HSA-69091.2	POLYMERASE SWITCHING%REACTOME%R-HSA-69091.2	0.000663	0.0162246129032258
EXTRACELLULAR VESICLE BIOGENESIS%GOBP%GO:0140112	EXTRACELLULAR VESICLE BIOGENESIS%GOBP%GO:0140112	0.000666	0.0162246129032258
PHOSPHOLIPID TRANSPORT%GOMF%GO:0015914	PHOSPHOLIPID TRANSPORT%GOMF%GO:0015914	0.000667	0.0162246129032258
PHOSPHOLIPID TRANSPORTER ACTIVITY%GOMF%GO:0005548	PHOSPHOLIPID TRANSPORTER ACTIVITY%GOMF%GO:0005548	0.000667	0.0162246129032258
AUTOLYSOSOME%GOCC%GO:0044754	AUTOLYSOSOME%GOCC%GO:0044754	0.000671	0.0162246129032258
RUNX2 REGULATES GENES INVOLVED IN CELL MIGRATION%REACTOME%R-HSA-8941332.1	RUNX2 REGULATES GENES INVOLVED IN CELL MIGRATION%REACTOME%R-HSA-8941332.1	0.000671	0.0162246129032258
EXTRINSIC COMPONENT OF ENDOPLASMIC RETICULUM MEMBRANE%GOCC%GO:0042406	EXTRINSIC COMPONENT OF ENDOPLASMIC RETICULUM MEMBRANE%GOCC%GO:0042406	0.000672	0.0162246129032258
CD8-POSITIVE, ALPHA-BETA T CELL ACTIVATION%GOBP%GO:0036037	CD8-POSITIVE, ALPHA-BETA T CELL ACTIVATION%GOBP%GO:0036037	0.000674	0.0162246129032258
GLYCOLYTIC PROCESS THROUGH FRUCTOSE-6-PHOSPHATE%GOBP%GO:0061615	GLYCOLYTIC PROCESS THROUGH FRUCTOSE-6-PHOSPHATE%GOBP%GO:0061615	0.000676	0.0162246129032258
GLYCOLYTIC PROCESS THROUGH GLUCOSE-6-PHOSPHATE%GOBP%GO:0061620	GLYCOLYTIC PROCESS THROUGH GLUCOSE-6-PHOSPHATE%GOBP%GO:0061620	0.000676	0.0162246129032258
REGULATION OF TRANSFORMING GROWTH FACTOR BETA1 PRODUCTION%GOBP%GO:0032908	REGULATION OF TRANSFORMING GROWTH FACTOR BETA1 PRODUCTION%GOBP%GO:0032908	0.000676	0.0162246129032258
ASPARTIC-TYPE PEPTIDASE ACTIVITY%GOMF%GO:0070001	ASPARTIC-TYPE PEPTIDASE ACTIVITY%GOMF%GO:0070001	0.000677	0.0162246129032258
REGULATION OF DNA-TEMPLATED DNA REPLICATION INITIATION%GOBP%GO:0030174	REGULATION OF DNA-TEMPLATED DNA REPLICATION INITIATION%GOBP%GO:0030174	0.000678	0.0162246129032258
SPHINGOLIPID TRANSPORTER ACTIVITY%GOMF%GO:0046624	SPHINGOLIPID TRANSPORTER ACTIVITY%GOMF%GO:0046624	0.000678	0.0162246129032258
REGULATION OF SKELETAL MUSCLE TISSUE DEVELOPMENT%GOBP%GO:0048641	REGULATION OF SKELETAL MUSCLE TISSUE DEVELOPMENT%GOBP%GO:0048641	0.000689	0.0164583488372093
ADENOSINE RIBONUCLEOTIDES <I>DE NOVO< I> BIOSYNTHESIS%BIOCYC%PWY-7219	ADENOSINE RIBONUCLEOTIDES <I>DE NOVO< I> BIOSYNTHESIS%BIOCYC%PWY-7219	0.000691	0.0164766482142857
